,hex10,start_time,alerts,interactions
144,8a8e62c56c9ffff,2019-06-05 17:04:00.000,1,4
145,8a8e62c56cb7fff,2019-06-05 11:51:00.000,1,1
146,8a8e62c56da7fff,2019-05-20 23:28:00.000,1,15
147,8a8e62ce485ffff,2018-11-07 21:11:00.000,1,5
148,8a8e62ce486ffff,2019-01-28 02:49:00.000,1,6
149,8a8e62ce486ffff,2019-01-28 04:08:00.000,1,2
150,8a8e62ce4a27fff,2019-02-14 01:17:00.000,1,4
151,8a8e62ce4a4ffff,2018-10-26 01:49:00.000,1,2
152,8a8e62ce4a57fff,2019-08-05 23:53:00.000,1,10
153,8a8e62ce4b07fff,2019-01-28 01:13:00.000,1,8
154,8a8e62ce4b07fff,2019-01-28 01:37:00.000,1,10
155,8a8e62ce4b07fff,2019-01-28 03:00:00.000,1,6
156,8a8e62ce4b1ffff,2019-01-19 04:48:00.000,1,13
157,8a8e62ce4b1ffff,2019-01-19 06:07:00.000,1,11
158,8a8e62ce4b37fff,2019-01-28 02:56:00.000,1,1
159,8a8e62ce4b37fff,2019-01-28 04:08:00.000,1,1
160,8a8e62ce4b57fff,2018-11-18 17:09:00.000,1,1
161,8a8e62ce4b5ffff,2019-01-30 23:43:00.000,1,5
162,8a8e62ce4b6ffff,2019-06-13 23:59:00.000,1,2
163,8a8e62ce4ba7fff,2019-01-24 23:37:00.000,1,10
164,8a8e62ce4bb7fff,2019-03-09 14:17:00.000,1,6
165,8a8e62ce5167fff,2019-03-04 00:32:00.000,1,18
166,8a8e62ce5167fff,2019-05-20 01:21:00.000,1,6
167,8a8e62ce5167fff,2019-08-15 16:07:00.000,1,3
168,8a8e62ce5167fff,2019-08-15 16:08:00.000,1,13
169,8a8e62ce516ffff,2018-10-06 18:40:00.000,1,2
170,8a8e62ce516ffff,2019-05-24 22:31:00.000,1,2
171,8a8e62ce584ffff,2019-03-06 15:48:00.000,1,4
172,8a8e62ce584ffff,2019-03-06 16:34:00.000,1,1
173,8a8e62ce5887fff,2019-06-16 01:21:00.000,1,1
174,8a8e62ce58cffff,2019-01-05 01:05:00.000,1,2
175,8a8e62ce58d7fff,2019-02-20 00:51:00.000,1,4
176,8a8e62ce595ffff,2019-03-19 12:20:00.000,1,4
