,hex10,date,alerts,interactions
156,8a8e62ce5a5ffff,2019-05-14,2,24
157,8a8e62ce5a77fff,2019-05-30,1,1
158,8a8e62ce5a87fff,2019-04-09,1,11
159,8a8e62ce5a8ffff,2018-10-02,1,1
160,8a8e62ce5a8ffff,2018-10-20,1,5
161,8a8e62ce5a8ffff,2018-11-06,1,2
162,8a8e62ce5a8ffff,2019-04-08,1,18
163,8a8e62ce5a8ffff,2019-05-18,1,1
164,8a8e62ce5a8ffff,2019-06-07,1,14
165,8a8e62ce5a97fff,2019-05-20,1,4
166,8a8e62ce5aa7fff,2019-03-09,1,7
167,8a8e62ce5ab7fff,2018-10-26,1,4
168,8a8e62ce5acffff,2019-02-03,1,25
169,8a8e62ce5acffff,2019-02-09,4,42
170,8a8e62ce5acffff,2019-05-11,1,3
171,8a8e62ce5ad7fff,2018-11-06,1,4
172,8a8e62ce5ad7fff,2019-01-04,1,4
173,8a8e62ce5ad7fff,2019-02-09,1,16
174,8a8e62ce5ad7fff,2019-05-18,1,15
175,8a8e62ce5ad7fff,2019-05-20,1,3
176,8a8e62ce5b27fff,2019-03-21,1,1
177,8a8e62ce5b67fff,2018-10-25,1,1
178,8a8e62ce5b77fff,2018-10-25,1,4
179,8a8e62ce5b77fff,2019-03-13,1,6
180,8a8e62ce5b8ffff,2019-03-09,1,4
181,8a8e62ce5b97fff,2019-03-06,1,7
182,8a8e62ce5b9ffff,2019-01-12,1,2
183,8a8e62ce5c2ffff,2019-03-22,1,1
184,8a8e62ce5c67fff,2019-05-25,1,7
185,8a8e62ce5d0ffff,2018-10-17,1,1
186,8a8e62ce5d27fff,2019-08-25,1,3
